index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,shot_freeze_frame,match_id,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,player_id,player_name,position_id,position_name,pass_length,pass_angle,pass_pass_success_probability,pass_recipient_id,pass_recipient_name,pass_height_id,pass_height_name,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,out,counterpress,shot_statsbomb_xg,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_gk_positioning_xg_suppression,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,shot_first_time,off_camera,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_shot_assist,pass_inswinging,pass_cross,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_left_foot,pass_no_touch,shot_saved_off_target,goalkeeper_shot_saved_off_target,50_50_outcome_id,50_50_outcome_name,pass_cut_back,block_offensive,foul_committed_advantage,foul_won_advantage,pass_miscommunication,dribble_nutmeg,pass_deflected,block_deflection,pass_outswinging,clearance_other,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_save_block,miscontrol_aerial_won,shot_aerial_won,foul_committed_offensive,pass_straight,ball_recovery_offensive,shot_deflected,shot_open_goal,goalkeeper_punched_out,foul_committed_penalty,foul_won_penalty,shot_shot_shot_assist,dribble_no_touch,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_shot_goal_assist,shot_follows_dribble,goalkeeper_lost_out,goalkeeper_lost_in_play,player_off_permanent,shot_redirect,goalkeeper_success_out,goalkeeper_success_in_play,x,y,end_x,end_y,carry_end_x,carry_end_y,goalkeeper_end_x,goalkeeper_end_y,shot_end_x,shot_end_y,shot_end_z,prog_pass,prog_carry,pass_or_carry_angle,phase,count_hi,count_hsr,count_high_acceleration,count_high_deceleration,count_medium_acceleration,count_medium_deceleration,count_sprint,high_intensity_hi_distance,high_speed_running_hsr_distance,m/min,max_speed,running_distance,sprinting_distance,total_distance,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,Shoter_x,Shoter_y,in_box
1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1890,Kashiwa Reysol,1,Regular Play,1890,Kashiwa Reysol,442.0,"[{'jersey_number': 46, 'player.id': 97926, 'player.name': 'Kenta Matsumoto', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 32, 'player.id': 426941, 'player.name': 'Hiroki Sekine', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 13, 'player.id': 38289, 'player.name': 'Tomoya Inukai', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 4, 'player.id': 37651, 'player.name': 'Taiyo Koga', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 3, 'player.id': 98848, 'player.name': 'Diego Jara Rodrigues', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 33, 'player.id': 95376, 'player.name': 'Eiji Shirai', 'position.id': 9, 'position.name': 'Right Defensive Midfield'}, {'jersey_number': 5, 'player.id': 37672, 'player.name': 'Tomoki Takamine', 'position.id': 11, 'position.name': 'Left Defensive Midfield'}, {'jersey_number': 6, 'player.id': 43051, 'player.name': 'Yuto Yamada', 'position.id': 12, 'position.name': 'Right Midfield'}, {'jersey_number': 10, 'player.id': 25310, 'player.name': 'Matheus Gonçalves Sávio', 'position.id': 16, 'position.name': 'Left Midfield'}, {'jersey_number': 19, 'player.id': 45933, 'player.name': 'Mao Hosoya', 'position.id': 22, 'position.name': 'Right Center Forward'}, {'jersey_number': 14, 'player.id': 37220, 'player.name': 'Tomoya Koyamatsu', 'position.id': 24, 'position.name': 'Left Center Forward'}]",,3925235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1890,Kashiwa Reysol,1,Regular Play,4631,Kyoto Sanga FC,433.0,"[{'jersey_number': 94, 'player.id': 37658, 'player.name': 'Sung-Yun Gu', 'position.id': 1, 'position.name': 'Goalkeeper'}, {'jersey_number': 2, 'player.id': 380104, 'player.name': 'Shinnosuke Fukuda', 'position.id': 2, 'position.name': 'Right Back'}, {'jersey_number': 5, 'player.id': 42370, 'player.name': 'Hisashi Appiah Tawiah', 'position.id': 3, 'position.name': 'Right Center Back'}, {'jersey_number': 3, 'player.id': 95932, 'player.name': 'Shogo Asada', 'position.id': 5, 'position.name': 'Left Center Back'}, {'jersey_number': 28, 'player.id': 37245, 'player.name': 'Toichi Suzuki', 'position.id': 6, 'position.name': 'Left Back'}, {'jersey_number': 19, 'player.id': 42294, 'player.name': 'Daiki Kaneko', 'position.id': 10, 'position.name': 'Center Defensive Midfield'}, {'jersey_number': 7, 'player.id': 95906, 'player.name': 'Sota Kawasaki', 'position.id': 13, 'position.name': 'Right Center Midfield'}, {'jersey_number': 16, 'player.id': 102241, 'player.name': 'Shohei Takeda', 'position.id': 15, 'position.name': 'Left Center Midfield'}, {'jersey_number': 23, 'player.id': 23919, 'player.name': 'Yuta Toyokawa', 'position.id': 17, 'position.name': 'Right Wing'}, {'jersey_number': 14, 'player.id': 43050, 'player.name': 'Taichi Hara', 'position.id': 21, 'position.name': 'Left Wing'}, {'jersey_number': 9, 'player.id': 237486, 'player.name': 'Marco Túlio Oliveira Lemos', 'position.id': 23, 'position.name': 'Center Forward'}]",,3925235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,00:00:00.000,0,0,1,0.0,18,Half Start,1890,Kashiwa Reysol,1,Regular Play,1890,Kashiwa Reysol,,,,3925235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,00:00:00.000,0,0,1,0.0,18,Half Start,1890,Kashiwa Reysol,1,Regular Play,4631,Kyoto Sanga FC,,,,3925235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,00:00:02.828,0,2,2,1.6525,30,Pass,1890,Kashiwa Reysol,9,From Kick Off,1890,Kashiwa Reysol,,,,3925235,0.0171,0.0068,0.0103,0.0105,0.0097,0.0008,0.0095,37220.0,Tomoya Koyamatsu,24.0,Left Center Forward,9.4191,3.0778,0.9984,37672.0,Tomoki Takamine,1.0,Ground Pass,40.0,Right Foot,65.0,Kick Off,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,40.1,51.6,40.7,,,,,,,,-9.40349703186299,0.0,176.34777721969368,,,,,,,,,,,,,,,,6.0,4.0,5.0,4.0,0.01689528,0.01484598,-0.0020492999999999987,,,
6,1,00:00:04.481,0,4,2,,42,Ball Receipt*,1890,Kashiwa Reysol,9,From Kick Off,1890,Kashiwa Reysol,,,,3925235,,,,,,,,37672.0,Tomoki Takamine,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,40.7,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,00:00:04.481,0,4,2,0.3112,43,Carry,1890,Kashiwa Reysol,9,From Kick Off,1890,Kashiwa Reysol,,,,3925235,0.0171,0.0171,0.0,0.0105,0.0105,0.0,0.0,37672.0,Tomoki Takamine,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,40.7,,,51.6,40.4,,,,,,0.0,0.0024121969209716,,,,,,,,,,,,,,,,,5.0,4.0,5.0,3.0,0.01484598,0.01484598,0.0,,,
8,1,00:00:04.792,0,4,2,3.4347,30,Pass,1890,Kashiwa Reysol,9,From Kick Off,1890,Kashiwa Reysol,,,,3925235,0.0092,0.0171,-0.0079,0.007,0.0105,-0.0034,-0.0045,37672.0,Tomoki Takamine,11.0,Left Defensive Midfield,57.4557,0.5291,0.2795,,,3.0,High Pass,38.0,Left Foot,,,34.0,Midfield third - Left - To right - Long - High Pass,0.6201,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,40.4,101.2,69.4,,,,,,,,33.50417830632338,0.0,30.31386213003217,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,00:00:08.227,0,8,2,0.0,9,Clearance,1890,Kashiwa Reysol,9,From Kick Off,4631,Kyoto Sanga FC,,,,3925235,0.007,0.0105,-0.0034,0.0092,0.0171,-0.0079,0.0045,37245.0,Toichi Suzuki,6.0,Left Back,,,,,,,,,,,,,,,True,,,1,,,,37.0,Head,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,10.7,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,00:00:10.067,0,10,2,0.6323,30,Pass,1890,Kashiwa Reysol,9,From Kick Off,1890,Kashiwa Reysol,,,,3925235,0.024,0.0138,0.0101,0.0091,0.0043,0.0047,0.0054,426941.0,Hiroki Sekine,2.0,Right Back,8.4077,-1.1018,0.7023,45933.0,Mao Hosoya,2.0,Low Pass,37.0,Head,66.0,Recovery,3.0,Attacking third - Right - Backwards - Short - Ground Pass,0.4724,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,77.0,92.2,69.5,,,,,,,,8.122532495533541,0.0,-63.13018691250096,,,,,,,,,,,,,,,,8.0,7.0,9.0,6.0,0.02122129,0.02953272,0.008311429999999998,,,
