POS,Team,P,W,D,L,GF,GA,GD,PTS
1,Vissel Kobe,38,21,9,8,61,36,25,72
2,Sanfrecce Hiroshima,38,19,11,8,72,43,29,68
3,Machida Zelvia,38,19,9,10,54,34,20,66
4,Gamba Osaka,38,18,12,8,49,35,14,66
5,Kashima Antlers,38,18,11,9,60,41,19,65
6,Tokyo Verdy,38,14,14,10,51,51,0,56
7,Tokyo,38,15,9,14,53,51,2,54
8,Kawasaki Frontale,38,13,13,12,66,57,9,52
9,Yokohama F. Marinos,38,15,7,16,61,62,-1,52
10,Cerezo Osaka,38,13,13,12,43,48,-5,52
11,Nagoya Grampus,38,15,5,18,44,47,-3,50
12,Avispa Fukuoka,38,12,14,12,33,38,-5,50
13,Urawa Reds,38,12,12,14,49,45,4,48
14,Kyoto Sanga,38,12,11,15,43,55,-12,47
15,Shonan Bellmare,38,12,9,17,53,58,-5,45
16,Albirex Niigata,38,10,12,16,44,59,-15,42
17,Kashiwa Reysol,38,9,14,15,39,51,-12,41
18,Júbilo Iwata,38,10,8,20,47,68,-21,38
19,Consadole Sapporo,38,9,10,19,43,66,-23,37
20,Sagan Tosu,38,10,5,23,48,68,-20,35
