Name,Total_Shots,Open_Play_Shots,Goals,Shot_On_Post,Shot_On_Target,Shot_Off_Target,Shot_Blocked,Shots_From_Inside_The_Box,Shots_From_Outside_The_Box,Avg._Shot_Distance,xG,xGOT,Total_Passes,Accurate_Passes,Miss_Pass,Passing_Accuracy,Progressive_Passes,Chances_Created,Assists,Pre-Assists,Buil-up_to_Shot,Final_Third_Passes,Passes_In_Penalty_Box,Through_Pass_Attempts,Accurate_Through_Passes,Crosses_Attempts,Accurate_Crosses,Longballs_Attempts,Accurate_Longballs,Corners_Taken,Accurate_Corners,Freekicks_Taken,Accurate_Freekicks,ThrowIns_Taken,Accurate_ThrowIns,Forward_Pass_Attempts,Accurate_Forward_Pass,Side_Pass_Attempts,Accurate_Side_Pass,Back_Pass_Attempts,Accurate_Back_Pass,xT_Increased_From_Pass,xT_Decreased_From_Pass,Total_xT_From_Pass,Total_Carries,Progressive_Carries,Carries_Led_to_Shot,Carries_Led_to_Goal,Carrier_Dispossessed,Carries_Into_Final_Third,Carries_Into_Penalty_Box,Avg._Carry_Length,Total_Carry_Length,xT_Increased_From_Carries,xT_Decreased_From_Carries,Total_xT_From_Carries,TakeOn_Attempts,Successful_TakeOns,Total_Passes_Received,Key_Passes_Received,Assists_Received,Progressive_Passes_Received,Passes_Received_In_Final_Third,Passes_Received_In_Opponent_Penalty_Box,Crosses_Received,Longballs_Received,Cutbacks_Received,Ball_Retention,xT_Received,Avg._Distance_Of_Pass_Receiving_Form_Oppo._Goal_Line,Most_Passes_Received_From_(Count),Total_Tackles,Tackles_Won,Dribblers_Tackled,Dribble_Past,Interception,Ball_Recoveries,Post_Recovery_Ball_Retention,Pass_Blocked,Ball_Clearances,Shots_Blocked,Aerial_Duels,Aerial_Duels_Won,Fouls_Committed,Fouls_Infront_Of_Own_Penalty_Box,Error_Led_to_Shot,Error_Led_to_Goal,Possession Win in Final third,Possession Win in Mid third,Possession Win in Defensive third,Total_Touches,Touches_In_Final_Third,Touches_In_Opponent_Penalty_Box,obv_for_net,obv_against_net,obv_total_net,count_hi_1-15,count_hsr_1-15,count_high_acceleration_1-15,count_high_deceleration_1-15,count_medium_acceleration_1-15,count_medium_deceleration_1-15,count_sprint_1-15,high_intensity_hi_distance_1-15,high_speed_running_hsr_distance_1-15,m/min_1-15,max_speed_1-15,running_distance_1-15,sprinting_distance_1-15,total_distance_1-15,count_hi_16-30,count_hsr_16-30,count_high_acceleration_16-30,count_high_deceleration_16-30,count_medium_acceleration_16-30,count_medium_deceleration_16-30,count_sprint_16-30,high_intensity_hi_distance_16-30,high_speed_running_hsr_distance_16-30,m/min_16-30,max_speed_16-30,running_distance_16-30,sprinting_distance_16-30,total_distance_16-30,count_hi_31-45+,count_hsr_31-45+,count_high_acceleration_31-45+,count_high_deceleration_31-45+,count_medium_acceleration_31-45+,count_medium_deceleration_31-45+,count_sprint_31-45+,high_intensity_hi_distance_31-45+,high_speed_running_hsr_distance_31-45+,m/min_31-45+,max_speed_31-45+,running_distance_31-45+,sprinting_distance_31-45+,total_distance_31-45+,count_hi_46-60,count_hsr_46-60,count_high_acceleration_46-60,count_high_deceleration_46-60,count_medium_acceleration_46-60,count_medium_deceleration_46-60,count_sprint_46-60,high_intensity_hi_distance_46-60,high_speed_running_hsr_distance_46-60,m/min_46-60,max_speed_46-60,running_distance_46-60,sprinting_distance_46-60,total_distance_46-60,count_hi_61-75,count_hsr_61-75,count_high_acceleration_61-75,count_high_deceleration_61-75,count_medium_acceleration_61-75,count_medium_deceleration_61-75,count_sprint_61-75,high_intensity_hi_distance_61-75,high_speed_running_hsr_distance_61-75,m/min_61-75,max_speed_61-75,running_distance_61-75,sprinting_distance_61-75,total_distance_61-75,count_hi_76-120+,count_hsr_76-120+,count_high_acceleration_76-120+,count_high_deceleration_76-120+,count_medium_acceleration_76-120+,count_medium_deceleration_76-120+,count_sprint_76-120+,high_intensity_hi_distance_76-120+,high_speed_running_hsr_distance_76-120+,m/min_76-120+,max_speed_76-120+,running_distance_76-120+,sprinting_distance_76-120+,total_distance_76-120+
Shinji Kagawa,3,3,0,0,0,1,2,1,2,23.84,0.16,0.0,39,34,2,87.18,3,2,0,0,0,7,2,0,0,0,0,3,1,1,1,0,0,13,10,13,9,4,4,21,20,0.31,-0.1,0.2,26,2,0,0,0,1,0,3.24,154.95,0.04,-0.01,0.03,0,0,26,1,0,4,6,1,1,1,0,100.0,0.14,50.75,Kyohei Noborizato(7),,,,,,,,,,,,,,,,,,,,79,28,3,0.0119,-0.0246,0.0365,336.0,264.0,144.0,168.0,864.0,840.0,72.0,4251.432,3435.996,3072.8616,27.1752,7098.595200000001,815.436,46092.9216,256.0,192.0,160.0,224.0,832.0,736.0,64.0,4349.696,3795.2928,3446.0288,25.9497,6945.5552,554.4032,51690.4096,176.0,112.0,64.0,112.0,688.0,544.0,64.0,2546.6912,1994.2896,1859.9072,27.2491,4822.1296,552.4016,31866.3984,340.0,272.0,34.0,68.0,1360.0,1122.0,68.0,5538.379,4733.853999999999,3913.791,30.124,10637.824800000002,804.5250000000001,58706.861600000004,308.0,280.0,168.0,140.0,924.0,728.0,28.0,4013.0832,2931.933199999999,2938.2807999999995,27.8222,8776.1856,1081.1499999999999,44074.21480000001,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,84.9151,17.9343,30.9974,0.0,199.5505
João Victor da Vitória Fernandes,3,3,1,0,1,0,1,3,0,21.15,0.63,1.1,22,17,5,77.27,4,0,0,0,0,7,1,0,0,1,0,0,0,1,1,1,1,9,7,13,8,1,1,7,7,0.1,-0.03,0.08,34,5,0,0,0,0,0,3.1,257.13,0.31,-0.0,0.3,2,2,30,1,0,3,7,1,0,2,0,100.0,0.1,41.1,Kyohei Noborizato(6),,,,,,,,,,,,,,,,,,,,62,40,2,0.7108000000000001,0.2191,0.4917000000000001,87.0,87.0,58.0,116.0,696.0,522.0,0.0,697.1222999999997,697.1222999999997,2936.7778,23.1438,3913.3702000000003,0.0,44051.65539999998,288.0,216.0,144.0,288.0,720.0,576.0,72.0,3310.3151999999995,2333.8799999999997,3694.1184,30.342,8221.460399999998,976.4352,55411.7976,108.0,54.0,108.0,54.0,567.0,297.0,54.0,1408.8600000000001,995.2416000000001,2379.2859000000003,29.0886,3642.9884999999995,413.61840000000007,40765.11029999999,98.0,70.0,56.0,28.0,350.0,336.0,28.0,1173.6326000000001,818.1600000000003,1370.2541999999999,29.3499,2631.7843999999996,355.47259999999994,20553.8158,176.0,112.0,96.0,96.0,272.0,384.0,64.0,2444.7456,1640.5584,1558.7232,29.8695,3343.6144,804.1872,23380.848,232.0,203.0,203.0,145.0,1073.0,957.0,29.0,2929.0783,2734.0445999999997,2410.6975,25.3651,6910.4245,195.0337,49218.39109999998
Lucas Fernandes,3,2,0,0,0,0,3,1,2,30.78,0.1,0.0,49,32,16,65.31,11,2,1,0,0,15,9,0,0,3,3,1,1,9,3,0,0,14,10,18,11,8,6,17,13,0.91,-0.1,0.82,45,8,0,0,0,1,5,6.43,422.07,0.3,-0.01,0.3,7,3,32,1,0,4,12,1,0,4,0,100.0,0.18,33.55,Seiya Maikuma(9),,,,,,,,,,,,,,,,,,,,99,67,7,0.5813,-0.0657,0.647,416.0,338.0,78.0,156.0,1040.0,910.0,78.0,4883.9466,3647.0017999999995,3689.407799999999,30.0749,8975.668000000001,1236.9474,55341.117000000006,304.0,228.0,114.0,304.0,1178.0,912.0,76.0,3235.2212000000004,2686.079399999999,4459.911800000001,26.9712,7863.454,549.1418,66898.6922,325.0,325.0,125.0,250.0,925.0,725.0,0.0,2762.0875,2677.685,3039.96,25.5002,7347.610000000001,84.40499999999999,52084.66,640.0,480.0,400.0,400.0,1320.0,1480.0,160.0,8424.472,5281.835999999999,5055.948,29.1026,13075.904,3142.636,75839.228,198.0,88.0,44.0,66.0,594.0,616.0,110.0,3822.6034,2999.644999999999,2054.9716,26.1095,4491.6014000000005,822.9605999999998,30824.56520000001,782.0,552.0,92.0,414.0,2300.0,1702.0,230.0,12634.079399999997,7746.078,4427.242399999998,31.4331,13980.039399999998,4888.006000000002,102638.2176
Shunta Tanaka,3,3,1,0,0,2,0,3,0,10.74,0.16,0.34,58,49,8,84.48,6,2,0,0,0,7,1,0,0,0,0,5,4,0,0,2,0,19,14,26,19,5,5,26,25,0.14,-0.04,0.09,32,1,0,0,0,0,0,2.62,142.19,0.04,-0.01,0.03,1,1,44,1,1,5,6,2,0,1,0,100.0,0.53,62.55,Kyohei Noborizato(12),,,,,,,,,,,,,,,,,,,,101,20,2,0.0786,-0.0321,0.1107,156.0,130.0,104.0,156.0,1066.0,884.0,26.0,2839.2052000000003,2494.1462,3271.1042000000007,29.2746,7513.784199999998,345.05899999999997,49066.570799999994,168.0,126.0,336.0,252.0,1470.0,1470.0,42.0,1066.905,886.0278000000001,4639.0008,26.2405,13178.4618,180.87720000000002,69585.01199999999,468.0,312.0,273.0,156.0,1404.0,1638.0,156.0,6255.057899999998,3376.101299999999,4715.6226000000015,32.1737,10516.954499999994,2878.9605000000006,80794.32659999996,132.0,88.0,44.0,110.0,902.0,506.0,44.0,1913.8570000000002,1053.3556000000003,2379.1020000000003,30.1613,4936.760399999999,860.5035999999998,35686.5146,140.0,100.0,40.0,100.0,660.0,580.0,40.0,3765.708000000001,2797.6599999999994,2107.3660000000004,29.9813,4187.133999999999,968.0479999999998,31610.494000000006,140.0,112.0,56.0,28.0,1120.0,952.0,28.0,2389.2147999999997,1985.0879999999997,2602.8408,27.2192,7805.221199999998,404.1268000000001,53141.32599999999
Ryotaro Araki,2,2,2,0,0,0,0,1,1,21.19,0.81,1.94,27,17,6,62.96,2,0,0,0,0,2,0,0,0,0,0,1,1,3,0,3,1,6,5,11,6,2,1,11,9,0.04,-0.01,0.02,24,1,0,0,2,0,1,2.62,90.45,0.1,-0.0,0.1,3,2,26,0,1,7,6,2,1,0,1,100.0,0.28,53.3,Kota Tawaratsumida(4),,,,,,,,,,,,,,,,,,,,59,14,3,1.2374,-0.0029999999999999,1.2404,120.0,60.0,45.0,90.0,690.0,480.0,60.0,2251.71,1657.392,2006.0325,29.2619,4114.267499999998,594.3180000000001,30090.496500000005,385.0,385.0,175.0,245.0,1190.0,805.0,0.0,3153.1674999999996,3153.1674999999996,3804.1009999999997,24.0492,8530.8685,0.0,57061.4905,126.0,98.0,56.0,70.0,532.0,406.0,28.0,1884.4434000000003,1750.8876,1640.5326000000002,25.4219,4339.504400000002,133.55579999999998,28107.7902,324.0,270.0,81.0,189.0,999.0,459.0,54.0,3732.3827999999994,3355.9299000000005,3230.1072000000004,26.4378,6687.9756,376.4529,48451.58909999999,138.0,92.0,0.0,46.0,713.0,506.0,46.0,2937.5921999999996,2593.1648999999993,2298.8960000000006,26.7726,6348.531300000002,344.4250000000001,34483.43770000001,198.0,144.0,126.0,180.0,900.0,576.0,54.0,3718.4633999999996,2970.2106,1680.6095999999998,28.4046,5513.614199999999,748.2528000000001,38962.137599999995
Kota Tawaratsumida,2,2,0,0,0,1,1,1,1,22.54,0.1,0.0,14,11,2,78.57,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,8,5,1,1,5,5,0.04,0.0,0.04,11,2,0,0,0,0,1,6.31,160.92,0.05,-0.0,0.04,1,0,14,2,0,2,3,1,0,0,1,100.0,0.1,61.85,Riki Harakawa(4),,,,,,,,,,,,,,,,,,,,39,11,2,-0.0108,-0.0274,0.0165999999999999,165.0,60.0,45.0,105.0,510.0,375.0,105.0,3088.3515,2294.4660000000003,1818.6900000000005,29.3245,3733.264500000001,793.8855,27280.359000000004,286.0,208.0,104.0,156.0,910.0,624.0,78.0,3576.4377999999997,3095.1205999999997,2716.7738,28.3102,6245.363799999999,481.3172,40751.609599999996,154.0,70.0,70.0,70.0,686.0,448.0,84.0,3151.6968,1430.8924,1647.016,31.1101,3212.101200000001,1720.8044000000002,28218.87599999999,270.0,210.0,180.0,120.0,810.0,840.0,60.0,4094.9159999999983,2987.0549999999994,3462.372000000001,31.2889,7299.074999999999,1107.861,51935.58599999998,12.0,-4.0,8.0,8.0,32.0,24.0,16.0,468.8792,225.8104,375.1344,33.2202,253.1028,243.0688,1888.176,,,,,,,,,,,,,,
Leonardo de Sousa Pereira,2,2,0,1,1,0,0,2,0,12.88,0.5,0.1,24,14,10,58.33,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,12,7,11,5,3,2,9,7,0.01,-0.04,-0.03,25,0,1,0,1,0,0,2.77,102.32,0.65,-0.2,0.45,7,3,25,2,0,7,13,7,1,2,2,100.0,0.57,27.4,Jin-Hyeon Kim(5),,,,,,,,,,,,,,,,,,,,107,64,20,-0.6508,0.0682,-0.7190000000000001,112.0,28.0,56.0,140.0,980.0,644.0,84.0,3177.0172,1873.1860000000001,3322.9224,28.3922,5855.5252,1303.8311999999996,49843.84999999999,259.0,111.0,185.0,148.0,814.0,814.0,148.0,4525.6994,2815.1412999999993,3443.134899999999,31.4448,6891.5164,1710.5580999999995,51647.016099999986,481.0,333.0,296.0,296.0,1073.0,888.0,148.0,6483.3028,4682.220500000001,4419.8424,29.6981,9130.282799999999,1801.0822999999996,75726.6346,224.0,168.0,56.0,168.0,1428.0,644.0,56.0,2317.2128,1782.3931999999998,3246.0064,28.0599,6831.4316,534.8195999999999,48690.10160000001,140.0,100.0,60.0,80.0,480.0,560.0,40.0,2387.2400000000002,1475.2480000000003,1936.3059999999998,31.7343,3229.4660000000003,911.9920000000001,29044.585999999996,540.0,360.0,108.0,324.0,1512.0,1152.0,180.0,8490.6,5894.992799999998,3531.783599999999,28.9184,8672.418,2595.6071999999995,81878.5044
Jandir Breno Souza Silva,1,1,0,1,0,0,0,0,1,47.22,0.07,0.0,6,4,1,66.67,2,0,1,0,0,3,1,0,0,1,1,1,0,0,0,0,0,3,2,4,2,1,1,1,1,0.21,-0.0,0.21,14,4,0,0,0,0,2,6.97,145.22,0.1,-0.01,0.09,6,4,9,1,0,3,2,0,0,0,0,100.0,0.03,39.7,Henrique de Souza Trevisan(3),,,,,,,,,,,,,,,,,,,,24,14,4,0.1893,-0.0541,0.2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,135.0,135.0,162.0,459.0,378.0,108.0,5160.299399999999,2824.4591999999993,2968.266600000001,31.9661,3941.3006999999993,2335.8402,29534.263199999998,468.0,324.0,252.0,324.0,1368.0,1080.0,144.0,6398.373600000001,4360.125599999999,3278.7756,31.9205,13027.067999999997,2038.2479999999998,76012.9524
Masaya Shibayama,1,1,0,0,0,1,0,1,0,10.38,0.02,0.0,10,6,4,60.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,6,5,1,0,1,0,0.02,-0.0,0.01,10,1,0,0,0,0,1,5.93,62.67,0.06,0.0,0.06,2,1,7,0,0,4,2,0,0,2,0,100.0,0.04,63.1,Shunta Tanaka(3),,,,,,,,,,,,,,,,,,,,21,11,4,0.0493,0.0057,0.0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.0,329.0,141.0,282.0,1833.0,1645.0,188.0,8891.901799999998,5406.640299999997,4790.150699999999,31.0417,16123.523900000002,3485.2615000000005,99714.97910000001
Kuryu Matsuki,1,1,0,0,0,0,1,0,1,32.91,0.01,0.0,29,25,2,86.21,3,0,0,0,0,3,1,0,0,0,0,4,2,0,0,1,1,9,6,18,14,1,1,9,9,0.12,-0.01,0.11,25,3,0,0,0,0,0,2.43,160.16,0.03,-0.0,0.02,0,0,19,1,0,2,3,1,0,1,0,100.0,0.06,60.7,Yuto Nagatomo(4),,,,,,,,,,,,,,,,,,,,53,10,1,0.063,-0.0036975356999999,0.0666975357,400.0,350.0,125.0,125.0,875.0,975.0,50.0,6991.8175,6380.285,3390.4275,28.0385,8641.064999999999,611.53,50856.425,247.0,228.0,152.0,95.0,741.0,760.0,19.0,2868.8043000000002,2270.9579000000003,2256.1683,31.8095,7121.9752,597.8464,33842.5302,615.0,492.0,287.0,164.0,2214.0,2378.0,123.0,5625.4952,4397.127,5221.497600000001,34.2196,15408.6774,1228.3682,89461.6392,297.0,270.0,54.0,81.0,1107.0,864.0,27.0,3740.2236000000007,3607.9479,3210.9777,26.4438,11003.2371,132.2757,48164.65470000001,154.0,88.0,44.0,88.0,660.0,748.0,66.0,2897.719,2175.7802000000006,2213.2088,30.3419,5575.171800000001,721.9387999999997,33198.14739999999,360.0,264.0,96.0,168.0,984.0,840.0,96.0,5287.473599999999,3299.5968000000003,2293.8432000000003,28.8445,8311.0968,1987.8768,53178.943199999994
