match_id,home_team,away_team,home_score,away_score
3925226,Sanfrecce Hiroshima,Urawa Reds,2,0
3925227,Nagoya Grampus,Kashima Antlers,0,3
3925228,Avispa Fukuoka,Consadole Sapporo,0,0
3925229,Cerezo Osaka,Tokyo,2,2
3925230,Júbilo Iwata,Vissel Kobe,0,2
3925231,Shonan Bellmare,Kawasaki Frontale,1,2
3925232,FC Machida Zelvia,Gamba Osaka,1,1
3925233,Sagan Tosu,Albirex Niigata,1,2
3925234,Tokyo Verdy,Yokohama F. Marinos,1,2
3925235,Kashiwa Reysol,Kyoto Sanga FC,1,1
3925236,Yokohama F. Marinos,Avispa Fukuoka,0,1
3925237,Kawasaki Frontale,Júbilo Iwata,4,5
3925238,Kyoto Sanga FC,Shonan Bellmare,1,2
3925239,Sagan Tosu,Consadole Sapporo,3,0
3925240,Vissel Kobe,Kashiwa Reysol,0,1
3925241,Tokyo,Sanfrecce Hiroshima,1,1
3925242,Gamba Osaka,Albirex Niigata,1,0
3925243,Kashima Antlers,Cerezo Osaka,1,1
3925244,Nagoya Grampus,FC Machida Zelvia,0,1
3925245,Urawa Reds,Tokyo Verdy,1,1
3925246,Cerezo Osaka,Tokyo Verdy,2,1
3925247,FC Machida Zelvia,Kashima Antlers,1,0
3925248,Yokohama F. Marinos,Gamba Osaka,2,0
3925249,Albirex Niigata,Nagoya Grampus,1,0
3925250,Júbilo Iwata,Kashiwa Reysol,0,1
3925251,Sanfrecce Hiroshima,Sagan Tosu,4,0
3925252,Avispa Fukuoka,Shonan Bellmare,1,1
3925253,Tokyo,Vissel Kobe,1,2
3925254,Kawasaki Frontale,Kyoto Sanga FC,0,1
3925255,Consadole Sapporo,Urawa Reds,0,1
3925256,Tokyo Verdy,Albirex Niigata,2,2
3925257,Avispa Fukuoka,Tokyo,1,3
3925258,Consadole Sapporo,FC Machida Zelvia,1,2
3925259,Vissel Kobe,Sanfrecce Hiroshima,0,0
3925260,Kashiwa Reysol,Nagoya Grampus,0,2
3925261,Gamba Osaka,Júbilo Iwata,2,1
3925262,Sagan Tosu,Cerezo Osaka,0,2
3925263,Kashima Antlers,Kawasaki Frontale,2,1
3925264,Shonan Bellmare,Urawa Reds,4,4
3925265,Kyoto Sanga FC,Yokohama F. Marinos,2,3
3925266,Tokyo Verdy,Kyoto Sanga FC,2,2
3925267,Cerezo Osaka,Shonan Bellmare,2,0
3925268,Nagoya Grampus,Yokohama F. Marinos,2,1
3925269,Sanfrecce Hiroshima,Gamba Osaka,1,1
3925270,Albirex Niigata,Kashiwa Reysol,1,1
3925271,Kashima Antlers,Júbilo Iwata,1,0
3925272,Vissel Kobe,Consadole Sapporo,6,0
3925273,Urawa Reds,Avispa Fukuoka,2,1
3925274,FC Machida Zelvia,Sagan Tosu,3,1
3925275,Kawasaki Frontale,Tokyo,3,0
3925276,FC Machida Zelvia,Sanfrecce Hiroshima,0,2
3925277,Tokyo,Urawa Reds,2,1
3925278,Consadole Sapporo,Nagoya Grampus,1,2
3925279,Sagan Tosu,Vissel Kobe,0,0
3925280,Avispa Fukuoka,Kashima Antlers,1,0
3925281,Gamba Osaka,Kyoto Sanga FC,0,0
3925282,Júbilo Iwata,Albirex Niigata,2,0
3925283,Yokohama F. Marinos,Kawasaki Frontale,0,0
3925284,Shonan Bellmare,Tokyo Verdy,1,2
3925285,Kashiwa Reysol,Cerezo Osaka,1,1
3925286,Consadole Sapporo,Gamba Osaka,1,0
3925287,Tokyo,Kashima Antlers,2,0
3925288,Tokyo Verdy,Kashiwa Reysol,1,1
3925289,Albirex Niigata,Cerezo Osaka,0,1
3925290,Kyoto Sanga FC,Júbilo Iwata,0,3
3925291,Vissel Kobe,Yokohama F. Marinos,1,2
3925292,Sanfrecce Hiroshima,Shonan Bellmare,2,0
3925293,Urawa Reds,Sagan Tosu,3,0
3925294,Kawasaki Frontale,FC Machida Zelvia,0,1
3925295,Nagoya Grampus,Avispa Fukuoka,0,0
3925296,Kashiwa Reysol,Urawa Reds,1,0
3925297,Albirex Niigata,Consadole Sapporo,1,1
3925298,Júbilo Iwata,Nagoya Grampus,0,1
3925299,Avispa Fukuoka,Sanfrecce Hiroshima,1,1
3925300,Tokyo Verdy,Tokyo,2,2
3925301,FC Machida Zelvia,Vissel Kobe,1,2
3925302,Yokohama F. Marinos,Shonan Bellmare,2,2
3925303,Cerezo Osaka,Kawasaki Frontale,1,0
3925304,Kashima Antlers,Kyoto Sanga FC,1,0
3925305,Gamba Osaka,Sagan Tosu,2,1
3925306,Yokohama F. Marinos,Kashiwa Reysol,4,0
3925307,Consadole Sapporo,Sanfrecce Hiroshima,1,1
3925308,Kyoto Sanga FC,Albirex Niigata,0,1
3925309,Sagan Tosu,Kashima Antlers,4,2
3925310,Shonan Bellmare,Vissel Kobe,0,1
3925311,Avispa Fukuoka,Júbilo Iwata,2,2
3925312,Urawa Reds,Gamba Osaka,0,1
3925313,Kawasaki Frontale,Tokyo Verdy,0,0
3925314,Nagoya Grampus,Cerezo Osaka,2,1
3925315,Tokyo,FC Machida Zelvia,1,2
3925316,Vissel Kobe,Kyoto Sanga FC,0,1
3925317,Cerezo Osaka,Yokohama F. Marinos,2,2
3925318,Albirex Niigata,Tokyo,1,3
3925319,Júbilo Iwata,FC Machida Zelvia,2,0
3925320,Consadole Sapporo,Shonan Bellmare,3,3
3925321,Kashiwa Reysol,Sagan Tosu,1,1
3925322,Gamba Osaka,Kashima Antlers,1,2
3925323,Sanfrecce Hiroshima,Kawasaki Frontale,2,2
3925324,Tokyo Verdy,Avispa Fukuoka,0,0
3925325,Urawa Reds,Nagoya Grampus,2,1
3925326,Yokohama F. Marinos,Júbilo Iwata,1,1
3925327,Kashima Antlers,Shonan Bellmare,3,1
3925328,Tokyo,Kyoto Sanga FC,2,1
3925329,FC Machida Zelvia,Kashiwa Reysol,2,0
3925330,Cerezo Osaka,Consadole Sapporo,1,1
3925331,Sagan Tosu,Tokyo Verdy,0,2
3925332,Kawasaki Frontale,Urawa Reds,3,1
3925333,Avispa Fukuoka,Gamba Osaka,1,0
3925334,Nagoya Grampus,Vissel Kobe,0,2
3925335,Albirex Niigata,Sanfrecce Hiroshima,1,1
3925336,Vissel Kobe,Albirex Niigata,2,2
3925337,Urawa Reds,Yokohama F. Marinos,2,1
3925338,Shonan Bellmare,Sagan Tosu,2,1
3925339,Kashiwa Reysol,Kashima Antlers,1,2
3925340,Sanfrecce Hiroshima,Nagoya Grampus,2,2
3925341,Avispa Fukuoka,Kawasaki Frontale,1,1
3925342,Kyoto Sanga FC,FC Machida Zelvia,0,3
3925343,Consadole Sapporo,Tokyo,1,2
3925344,Gamba Osaka,Cerezo Osaka,1,0
3925345,Tokyo Verdy,Júbilo Iwata,3,2
3925346,Yokohama F. Marinos,Sanfrecce Hiroshima,3,2
3925347,Shonan Bellmare,FC Machida Zelvia,0,0
3925348,Albirex Niigata,Urawa Reds,2,4
3925349,Júbilo Iwata,Sagan Tosu,0,2
3925350,Kyoto Sanga FC,Avispa Fukuoka,1,3
3925351,Kawasaki Frontale,Consadole Sapporo,3,0
3925352,Nagoya Grampus,Gamba Osaka,0,1
3925353,Cerezo Osaka,Vissel Kobe,1,4
3925354,Tokyo,Kashiwa Reysol,3,3
3925355,Kashima Antlers,Tokyo Verdy,3,3
3925356,Urawa Reds,Kyoto Sanga FC,3,0
3925357,Sagan Tosu,Kawasaki Frontale,5,2
3925358,Sanfrecce Hiroshima,Kashima Antlers,1,3
